kode,string
1532,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-18 adalah senilai Rp 31.821.177.363
1533,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-19 adalah senilai Rp 4.062.568.661
1534,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-20 adalah senilai Rp 112.708.081
1535,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-21 adalah senilai Rp 213.570.659.058
1536,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-22 adalah senilai Rp 0
1537,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-23 adalah senilai Rp 67.530.496.319
1538,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-24 adalah senilai Rp 0
1539,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-25 adalah senilai Rp 15.133.653.179
1540,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-26 adalah senilai Rp 352.986.164.251
1541,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-27 adalah senilai Rp 121.044.209.306
1542,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-28 adalah senilai Rp 240.275.733.323
1543,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-29 adalah senilai Rp 5.144.730.196
1544,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-30 adalah senilai Rp 88.288.412.258
1545,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-31 adalah senilai Rp 8.019.324.815.975
1546,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-32 adalah senilai Rp 2.203.168.354.910
1547,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-33 adalah senilai Rp 7.427.178.172.516
1548,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-34 adalah senilai Rp 0
1549,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-35 adalah senilai Rp 2.836.677.855.418
1550,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-36 adalah senilai Rp 346.817.237.687
1551,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-37 adalah senilai Rp 336.221.871.370
1552,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-38 adalah senilai Rp 2.624.626.504.844
1553,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-39 adalah senilai Rp 487.170.578.132
1554,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-40 adalah senilai Rp 471.496.155.668
1555,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-41 adalah senilai Rp 1.198.240.846.350
1556,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-42 adalah senilai Rp 4.246.851.833.223
1557,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-43 adalah senilai Rp 2.892.795.081.509
1558,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-44 adalah senilai Rp 102.265.737.256
1559,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-45 adalah senilai Rp 486.979.923.529
1560,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-46 adalah senilai Rp 13.919.759.236
1561,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-47 adalah senilai Rp 4.934.622.804.304
1562,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-48 adalah senilai Rp 447.605.669.764
1563,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-49 adalah senilai Rp 9.340.850.772.363
1564,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-50 adalah senilai Rp 7.341.826.798.233
1565,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-51 adalah senilai Rp 1.788.381.709.615
1566,Total PDRB Provinsi Nusa Tenggara Timur yang berasal dari kode komponen I-52 adalah senilai Rp 2.599.566.755.774
1567,Total PDRB Provinsi Papua yang berasal dari kode komponen 2010 adalah senilai Rp 42.462.090.892.243
1568,Total PDRB Provinsi Papua yang berasal dari kode komponen 2020 adalah senilai Rp 103.085.450.738.838
1569,Total PDRB Provinsi Papua yang berasal dari kode komponen 2045 adalah senilai Rp 816.537.825.020
1570,Total PDRB Provinsi Papua yang berasal dari kode komponen 3011 adalah senilai Rp 73.706.458.034.860
1571,Total PDRB Provinsi Papua yang berasal dari kode komponen 3012 adalah senilai Rp 3.012.455.266.981
1572,Total PDRB Provinsi Papua yang berasal dari kode komponen 3020 adalah senilai Rp 37.111.738.647.964
1573,Total PDRB Provinsi Papua yang berasal dari kode komponen 3030 adalah senilai Rp 53.950.587.300.478
1574,Total PDRB Provinsi Papua yang berasal dari kode komponen 3041 adalah senilai Rp -910.310.032.845
1575,Total PDRB Provinsi Papua yang berasal dari kode komponen I-01 adalah senilai Rp 3.723.271.452.103
1576,Total PDRB Provinsi Papua yang berasal dari kode komponen I-02 adalah senilai Rp 1.201.722.367.083
1577,Total PDRB Provinsi Papua yang berasal dari kode komponen I-03 adalah senilai Rp 2.083.113.646.919
1578,Total PDRB Provinsi Papua yang berasal dari kode komponen I-04 adalah senilai Rp 2.467.744.395.275
1579,Total PDRB Provinsi Papua yang berasal dari kode komponen I-05 adalah senilai Rp 148.432.308.195
1580,Total PDRB Provinsi Papua yang berasal dari kode komponen I-06 adalah senilai Rp 1.514.925.705.639
1581,Total PDRB Provinsi Papua yang berasal dari kode komponen I-07 adalah senilai Rp 6.441.562.356.630
1582,Total PDRB Provinsi Papua yang berasal dari kode komponen I-08 adalah senilai Rp 0
1583,Total PDRB Provinsi Papua yang berasal dari kode komponen I-09 adalah senilai Rp 0
1584,Total PDRB Provinsi Papua yang berasal dari kode komponen I-10 adalah senilai Rp 37.552.187.405.344
1585,Total PDRB Provinsi Papua yang berasal dari kode komponen I-11 adalah senilai Rp 2.626.113.215.342
1586,Total PDRB Provinsi Papua yang berasal dari kode komponen I-12 adalah senilai Rp 0
1587,Total PDRB Provinsi Papua yang berasal dari kode komponen I-13 adalah senilai Rp 1.153.324.445.181
1588,Total PDRB Provinsi Papua yang berasal dari kode komponen I-14 adalah senilai Rp 0
1589,Total PDRB Provinsi Papua yang berasal dari kode komponen I-15 adalah senilai Rp 93.291.243.038
1590,Total PDRB Provinsi Papua yang berasal dari kode komponen I-16 adalah senilai Rp 4.708.539.995
1591,Total PDRB Provinsi Papua yang berasal dari kode komponen I-17 adalah senilai Rp 999.292.767.013
1592,Total PDRB Provinsi Papua yang berasal dari kode komponen I-18 adalah senilai Rp 63.196.021.028
1593,Total PDRB Provinsi Papua yang berasal dari kode komponen I-19 adalah senilai Rp 2.831.640.786
1594,Total PDRB Provinsi Papua yang berasal dari kode komponen I-20 adalah senilai Rp 2.887.550.380
1595,Total PDRB Provinsi Papua yang berasal dari kode komponen I-21 adalah senilai Rp 54.258.553.751
1596,Total PDRB Provinsi Papua yang berasal dari kode komponen I-22 adalah senilai Rp 0
1597,Total PDRB Provinsi Papua yang berasal dari kode komponen I-23 adalah senilai Rp 11.911.077.856
1598,Total PDRB Provinsi Papua yang berasal dari kode komponen I-24 adalah senilai Rp 0
1599,Total PDRB Provinsi Papua yang berasal dari kode komponen I-25 adalah senilai Rp 30.461.230.395
1600,Total PDRB Provinsi Papua yang berasal dari kode komponen I-26 adalah senilai Rp 390.758.270.322
1601,Total PDRB Provinsi Papua yang berasal dari kode komponen I-27 adalah senilai Rp 94.548.435.954
1602,Total PDRB Provinsi Papua yang berasal dari kode komponen I-28 adalah senilai Rp 259.721.230.861
1603,Total PDRB Provinsi Papua yang berasal dari kode komponen I-29 adalah senilai Rp 3.754.487.231
1604,Total PDRB Provinsi Papua yang berasal dari kode komponen I-30 adalah senilai Rp 106.157.158.446
1605,Total PDRB Provinsi Papua yang berasal dari kode komponen I-31 adalah senilai Rp 17.588.755.072.734
1606,Total PDRB Provinsi Papua yang berasal dari kode komponen I-32 adalah senilai Rp 2.216.173.042.306
1607,Total PDRB Provinsi Papua yang berasal dari kode komponen I-33 adalah senilai Rp 11.874.484.329.060
1608,Total PDRB Provinsi Papua yang berasal dari kode komponen I-34 adalah senilai Rp 0
1609,Total PDRB Provinsi Papua yang berasal dari kode komponen I-35 adalah senilai Rp 4.497.381.455.536
1610,Total PDRB Provinsi Papua yang berasal dari kode komponen I-36 adalah senilai Rp 1.107.069.739.976
1611,Total PDRB Provinsi Papua yang berasal dari kode komponen I-37 adalah senilai Rp 307.002.111.045
1612,Total PDRB Provinsi Papua yang berasal dari kode komponen I-38 adalah senilai Rp 4.864.903.977.878
1613,Total PDRB Provinsi Papua yang berasal dari kode komponen I-39 adalah senilai Rp 1.725.546.946.291
1614,Total PDRB Provinsi Papua yang berasal dari kode komponen I-40 adalah senilai Rp 834.558.301.492
1615,Total PDRB Provinsi Papua yang berasal dari kode komponen I-41 adalah senilai Rp 591.607.857.010
1616,Total PDRB Provinsi Papua yang berasal dari kode komponen I-42 adalah senilai Rp 4.958.502.007.851
1617,Total PDRB Provinsi Papua yang berasal dari kode komponen I-43 adalah senilai Rp 2.409.831.380.611
1618,Total PDRB Provinsi Papua yang berasal dari kode komponen I-44 adalah senilai Rp 270.888.270.352
1619,Total PDRB Provinsi Papua yang berasal dari kode komponen I-45 adalah senilai Rp 342.487.834.341
1620,Total PDRB Provinsi Papua yang berasal dari kode komponen I-46 adalah senilai Rp 4.247.412.662
1621,Total PDRB Provinsi Papua yang berasal dari kode komponen I-47 adalah senilai Rp 6.224.853.149.625
1622,Total PDRB Provinsi Papua yang berasal dari kode komponen I-48 adalah senilai Rp 1.968.670.930.658
1623,Total PDRB Provinsi Papua yang berasal dari kode komponen I-49 adalah senilai Rp 14.775.106.184.412
1624,Total PDRB Provinsi Papua yang berasal dari kode komponen I-50 adalah senilai Rp 4.094.046.534.573
1625,Total PDRB Provinsi Papua yang berasal dari kode komponen I-51 adalah senilai Rp 1.838.407.913.364
1626,Total PDRB Provinsi Papua yang berasal dari kode komponen I-52 adalah senilai Rp 2.839.379.499.556
1627,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen 2010 adalah senilai Rp 22.570.556.262.060
1628,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen 2020 adalah senilai Rp 46.985.494.490.379
1629,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen 2045 adalah senilai Rp -1.693.585.597.772
1630,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen 3011 adalah senilai Rp 19.585.206.692.054
1631,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen 3012 adalah senilai Rp 642.970.483.268
1632,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen 3020 adalah senilai Rp 14.245.670.910.676
1633,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen 3030 adalah senilai Rp 17.271.687.066.695
1634,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen 3041 adalah senilai Rp -191.266.256.055
1635,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-01 adalah senilai Rp 260.229.822.975
1636,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-02 adalah senilai Rp 315.216.178.501
1637,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-03 adalah senilai Rp 1.177.446.189.898
1638,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-04 adalah senilai Rp 515.562.633.340
1639,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-05 adalah senilai Rp 30.548.009.289
1640,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-06 adalah senilai Rp 1.064.061.863.269
1641,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-07 adalah senilai Rp 3.126.753.131.853
1642,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-08 adalah senilai Rp 15.423.817.040.222
1643,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-09 adalah senilai Rp 0
1644,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-10 adalah senilai Rp 1.325.119.165
1645,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-11 adalah senilai Rp 839.234.731.534
1646,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-12 adalah senilai Rp 12.911.207.202.754
1647,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-13 adalah senilai Rp 1.019.496.013.697
1648,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-14 adalah senilai Rp 0
1649,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-15 adalah senilai Rp 4.005.631.846
1650,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-16 adalah senilai Rp 25.653.473.877
1651,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-17 adalah senilai Rp 681.270.831.023
1652,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-18 adalah senilai Rp 24.368.176.054
1653,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-19 adalah senilai Rp 2.097.617.847
1654,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-20 adalah senilai Rp 1.322.803.390
1655,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-21 adalah senilai Rp 74.836.588.807
1656,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-22 adalah senilai Rp 0
1657,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-23 adalah senilai Rp 24.940.382.011
1658,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-24 adalah senilai Rp 0
1659,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-25 adalah senilai Rp 25.379.942.616
1660,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-26 adalah senilai Rp 79.050.705.147
1661,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-27 adalah senilai Rp 88.876.850.085
1662,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-28 adalah senilai Rp 232.453.056.754
1663,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-29 adalah senilai Rp 2.975.622.649
1664,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-30 adalah senilai Rp 130.602.972.275
1665,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-31 adalah senilai Rp 7.086.501.390.796
1666,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-32 adalah senilai Rp 620.988.425.092
1667,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-33 adalah senilai Rp 4.362.426.881.846
1668,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-34 adalah senilai Rp 0
1669,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-35 adalah senilai Rp 1.092.105.166.002
1670,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-36 adalah senilai Rp 333.123.126.150
1671,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-37 adalah senilai Rp 36.417.307.827
1672,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-38 adalah senilai Rp 1.766.957.911.397
1673,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-39 adalah senilai Rp 186.794.522.466
1674,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-40 adalah senilai Rp 275.124.037.901
1675,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-41 adalah senilai Rp 633.491.733.077
1676,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-42 adalah senilai Rp 1.426.350.683.541
1677,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-43 adalah senilai Rp 1.031.852.431.353
1678,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-44 adalah senilai Rp 132.366.736.876
1679,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-45 adalah senilai Rp 117.153.142.358
1680,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-46 adalah senilai Rp 14.915.357.022
1681,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-47 adalah senilai Rp 1.923.318.413.877
1682,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-48 adalah senilai Rp 657.080.235.839
1683,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-49 adalah senilai Rp 5.323.353.985.197
1684,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-50 adalah senilai Rp 1.629.207.238.165
1685,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-51 adalah senilai Rp 567.062.266.339
1686,Total PDRB Provinsi Papua Barat yang berasal dari kode komponen I-52 adalah senilai Rp 563.141.570.667
1687,Total PDRB Provinsi Riau yang berasal dari kode komponen 2010 adalah senilai Rp 204.610.931.818.730
1688,Total PDRB Provinsi Riau yang berasal dari kode komponen 2020 adalah senilai Rp 353.389.940.002.761
1689,Total PDRB Provinsi Riau yang berasal dari kode komponen 2045 adalah senilai Rp 5.927.989.799.154
1690,Total PDRB Provinsi Riau yang berasal dari kode komponen 3011 adalah senilai Rp 198.771.775.692.708
1691,Total PDRB Provinsi Riau yang berasal dari kode komponen 3012 adalah senilai Rp 3.093.165.671.271
1692,Total PDRB Provinsi Riau yang berasal dari kode komponen 3020 adalah senilai Rp 24.578.184.539.925
1693,Total PDRB Provinsi Riau yang berasal dari kode komponen 3030 adalah senilai Rp 149.793.354.492.234
1694,Total PDRB Provinsi Riau yang berasal dari kode komponen 3041 adalah senilai Rp 152.260.742.888
1695,Total PDRB Provinsi Riau yang berasal dari kode komponen I-01 adalah senilai Rp 1.450.291.123.940
1696,Total PDRB Provinsi Riau yang berasal dari kode komponen I-02 adalah senilai Rp 3.058.876.110.003
1697,Total PDRB Provinsi Riau yang berasal dari kode komponen I-03 adalah senilai Rp 76.591.783.400.259
1698,Total PDRB Provinsi Riau yang berasal dari kode komponen I-04 adalah senilai Rp 3.001.222.217.250
1699,Total PDRB Provinsi Riau yang berasal dari kode komponen I-05 adalah senilai Rp 1.200.283.162.511
1700,Total PDRB Provinsi Riau yang berasal dari kode komponen I-06 adalah senilai Rp 28.011.350.582.617
1701,Total PDRB Provinsi Riau yang berasal dari kode komponen I-07 adalah senilai Rp 5.985.293.913.626
1702,Total PDRB Provinsi Riau yang berasal dari kode komponen I-08 adalah senilai Rp 56.475.348.444.092
1703,Total PDRB Provinsi Riau yang berasal dari kode komponen I-09 adalah senilai Rp 294.276.589.048
1704,Total PDRB Provinsi Riau yang berasal dari kode komponen I-10 adalah senilai Rp 33.209.676.967
1705,Total PDRB Provinsi Riau yang berasal dari kode komponen I-11 adalah senilai Rp 17.327.515.383.657
1706,Total PDRB Provinsi Riau yang berasal dari kode komponen I-12 adalah senilai Rp 46.124.911.573.301
1707,Total PDRB Provinsi Riau yang berasal dari kode komponen I-13 adalah senilai Rp 89.660.231.314.563
1708,Total PDRB Provinsi Riau yang berasal dari kode komponen I-14 adalah senilai Rp 130.991.769
1709,Total PDRB Provinsi Riau yang berasal dari kode komponen I-15 adalah senilai Rp 371.033.639.469
1710,Total PDRB Provinsi Riau yang berasal dari kode komponen I-16 adalah senilai Rp 131.201.128.188
1711,Total PDRB Provinsi Riau yang berasal dari kode komponen I-17 adalah senilai Rp 678.214.842.430
1712,Total PDRB Provinsi Riau yang berasal dari kode komponen I-18 adalah senilai Rp 22.071.021.793.195
1713,Total PDRB Provinsi Riau yang berasal dari kode komponen I-19 adalah senilai Rp 11.281.214.679.260
1714,Total PDRB Provinsi Riau yang berasal dari kode komponen I-20 adalah senilai Rp 1.492.034.098.086
1715,Total PDRB Provinsi Riau yang berasal dari kode komponen I-21 adalah senilai Rp 792.490.696.656
1716,Total PDRB Provinsi Riau yang berasal dari kode komponen I-22 adalah senilai Rp 131.108.328.599
1717,Total PDRB Provinsi Riau yang berasal dari kode komponen I-23 adalah senilai Rp 414.350.178.811
1718,Total PDRB Provinsi Riau yang berasal dari kode komponen I-24 adalah senilai Rp 4.800.817.745
1719,Total PDRB Provinsi Riau yang berasal dari kode komponen I-25 adalah senilai Rp 140.283.383.942
1720,Total PDRB Provinsi Riau yang berasal dari kode komponen I-26 adalah senilai Rp 762.225.535.190
1721,Total PDRB Provinsi Riau yang berasal dari kode komponen I-27 adalah senilai Rp 471.788.399.988
1722,Total PDRB Provinsi Riau yang berasal dari kode komponen I-28 adalah senilai Rp 1.118.186.170.620
1723,Total PDRB Provinsi Riau yang berasal dari kode komponen I-29 adalah senilai Rp 348.478.906.404
1724,Total PDRB Provinsi Riau yang berasal dari kode komponen I-30 adalah senilai Rp 240.979.488.962
1725,Total PDRB Provinsi Riau yang berasal dari kode komponen I-31 adalah senilai Rp 45.776.159.122.417
1726,Total PDRB Provinsi Riau yang berasal dari kode komponen I-32 adalah senilai Rp 8.210.324.511.858
1727,Total PDRB Provinsi Riau yang berasal dari kode komponen I-33 adalah senilai Rp 56.731.720.785.497
1728,Total PDRB Provinsi Riau yang berasal dari kode komponen I-34 adalah senilai Rp 0
1729,Total PDRB Provinsi Riau yang berasal dari kode komponen I-35 adalah senilai Rp 4.209.930.301.230
1730,Total PDRB Provinsi Riau yang berasal dari kode komponen I-36 adalah senilai Rp 1.188.995.655.349
1731,Total PDRB Provinsi Riau yang berasal dari kode komponen I-37 adalah senilai Rp 348.768.639.765
1732,Total PDRB Provinsi Riau yang berasal dari kode komponen I-38 adalah senilai Rp 2.558.272.567.989
1733,Total PDRB Provinsi Riau yang berasal dari kode komponen I-39 adalah senilai Rp 1.479.761.724.770
1734,Total PDRB Provinsi Riau yang berasal dari kode komponen I-40 adalah senilai Rp 2.596.429.215.329
1735,Total PDRB Provinsi Riau yang berasal dari kode komponen I-41 adalah senilai Rp 2.942.227.460.807
1736,Total PDRB Provinsi Riau yang berasal dari kode komponen I-42 adalah senilai Rp 12.248.323.110.814
1737,Total PDRB Provinsi Riau yang berasal dari kode komponen I-43 adalah senilai Rp 5.735.597.141.450
1738,Total PDRB Provinsi Riau yang berasal dari kode komponen I-44 adalah senilai Rp 1.346.047.692.596
1739,Total PDRB Provinsi Riau yang berasal dari kode komponen I-45 adalah senilai Rp 562.428.867.517
1740,Total PDRB Provinsi Riau yang berasal dari kode komponen I-46 adalah senilai Rp 176.223.634.093
1741,Total PDRB Provinsi Riau yang berasal dari kode komponen I-47 adalah senilai Rp 10.968.652.156.187
1742,Total PDRB Provinsi Riau yang berasal dari kode komponen I-48 adalah senilai Rp 6.043.722.708.674
1743,Total PDRB Provinsi Riau yang berasal dari kode komponen I-49 adalah senilai Rp 9.397.751.880.782
1744,Total PDRB Provinsi Riau yang berasal dari kode komponen I-50 adalah senilai Rp 9.017.460.456.720
1745,Total PDRB Provinsi Riau yang berasal dari kode komponen I-51 adalah senilai Rp 5.320.870.953.715
1746,Total PDRB Provinsi Riau yang berasal dari kode komponen I-52 adalah senilai Rp 7.405.056.461.937
1747,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen 2010 adalah senilai Rp 12.693.944.233.236
1748,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen 2020 adalah senilai Rp 19.682.573.022.908
1749,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen 2045 adalah senilai Rp 220.140.594.325
1750,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen 3011 adalah senilai Rp 18.175.095.239.086
1751,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen 3012 adalah senilai Rp 276.796.360.038
1752,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen 3020 adalah senilai Rp 6.525.872.557.140
1753,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen 3030 adalah senilai Rp 11.056.915.689.012
1754,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen 3041 adalah senilai Rp -205.567.250.573
1755,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-01 adalah senilai Rp 1.472.891.293.665
1756,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-02 adalah senilai Rp 887.509.920.006
1757,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-03 adalah senilai Rp 5.812.179.577.706
1758,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-04 adalah senilai Rp 1.033.940.409.032
1759,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-05 adalah senilai Rp 106.422.595.271
1760,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-06 adalah senilai Rp 285.211.888.916
1761,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-07 adalah senilai Rp 4.256.607.888.468
1762,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-08 adalah senilai Rp 0
1763,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-09 adalah senilai Rp 0
1764,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-10 adalah senilai Rp 0
1765,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-11 adalah senilai Rp 923.573.394.777
1766,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-12 adalah senilai Rp 0
1767,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-13 adalah senilai Rp 1.753.422.951.257
1768,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-14 adalah senilai Rp 0
1769,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-15 adalah senilai Rp 32.903.655.047
1770,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-16 adalah senilai Rp 9.343.572
1771,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-17 adalah senilai Rp 12.743.962.813
1772,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-18 adalah senilai Rp 4.667.446.517
1773,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-19 adalah senilai Rp 2.912.156.908
1774,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-20 adalah senilai Rp 335.878.551
1775,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-21 adalah senilai Rp 120.079.745.888
1776,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-22 adalah senilai Rp 0
1777,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-23 adalah senilai Rp 101.444.615.794
1778,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-24 adalah senilai Rp 0
1779,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-25 adalah senilai Rp 2.914.503.917
1780,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-26 adalah senilai Rp 5.386.620.860
1781,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-27 adalah senilai Rp 61.767.869.559
1782,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-28 adalah senilai Rp 21.282.804.768
1783,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-29 adalah senilai Rp 12.674.016.111
1784,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-30 adalah senilai Rp 329.721.161.455
1785,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-31 adalah senilai Rp 1.773.275.164.868
1786,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-32 adalah senilai Rp 519.062.183.841
1787,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-33 adalah senilai Rp 3.353.710.309.102
1788,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-34 adalah senilai Rp 0
1789,Total PDRB Provinsi Sulawesi Barat yang berasal dari kode komponen I-35 adalah senilai Rp 719.791.777.585
